machine,modele,quantification,n_threads,n_ctx,n_tokens_prompt_cible,input_tokens,output_tokens,fraction_ctx_remplie,run,duree_s,energie_kWh,joules,joules_pmic,joules_pmic_cpu,w_moyen_pmic
Pi5,Llama-3.2-1B,Q4_K_M,4,512,50,50,64,0.098,1,5.37,2.6063247034906126e-05,93.8,35.3,26.0,6.77
Pi5,Llama-3.2-1B,Q4_K_M,4,512,50,50,64,0.098,2,5.31,2.5096310221551455e-05,90.3,34.5,25.2,6.76
Pi5,Llama-3.2-1B,Q4_K_M,4,512,50,50,64,0.098,3,5.33,2.5363219678518073e-05,91.3,35.2,25.7,6.7
Pi5,Llama-3.2-1B,Q4_K_M,4,512,100,98,64,0.195,1,5.89,3.111226733358477e-05,112.0,40.9,30.7,7.12
Pi5,Llama-3.2-1B,Q4_K_M,4,512,100,98,64,0.195,2,5.93,3.152766315483161e-05,113.5,42.5,32.0,7.2
Pi5,Llama-3.2-1B,Q4_K_M,4,512,100,98,64,0.195,3,5.92,3.1227511870099066e-05,112.4,39.0,28.8,6.71
Pi5,Llama-3.2-1B,Q4_K_M,4,512,400,392,64,0.781,1,9.92,5.217856668962072e-05,187.8,72.9,56.4,7.49
Pi5,Llama-3.2-1B,Q4_K_M,4,512,400,392,64,0.781,2,9.94,5.233997896510679e-05,188.4,73.0,56.4,7.45
Pi5,Llama-3.2-1B,Q4_K_M,4,512,400,392,64,0.781,3,9.94,5.260368873443301e-05,189.4,73.7,56.9,7.44
Pi5,Llama-3.2-1B,Q4_K_M,4,2048,50,50,64,0.024,1,5.44,2.7287410990210697e-05,98.2,35.2,25.8,6.71
Pi5,Llama-3.2-1B,Q4_K_M,4,2048,50,50,64,0.024,2,5.44,2.6974962357127198e-05,97.1,33.3,24.0,6.33
Pi5,Llama-3.2-1B,Q4_K_M,4,2048,50,50,64,0.024,3,5.47,2.7416508142811503e-05,98.7,35.7,26.0,6.55
Pi5,Llama-3.2-1B,Q4_K_M,4,2048,100,98,64,0.049,1,6.08,2.8360356796622645e-05,102.1,39.0,28.7,6.44
Pi5,Llama-3.2-1B,Q4_K_M,4,2048,100,98,64,0.049,2,6.05,2.8337006979458268e-05,102.0,39.7,29.7,6.73
Pi5,Llama-3.2-1B,Q4_K_M,4,2048,100,98,64,0.049,3,6.06,2.819479420051991e-05,101.5,41.1,30.9,6.96
Pi5,Llama-3.2-1B,Q4_K_M,4,2048,400,392,64,0.195,1,10.1,4.949551322313274e-05,178.2,74.2,57.2,7.37
Pi5,Llama-3.2-1B,Q4_K_M,4,2048,400,392,64,0.195,2,10.39,5.0879502216892387e-05,183.2,71.5,54.2,6.89
Pi5,Llama-3.2-1B,Q4_K_M,4,2048,400,392,64,0.195,3,10.08,4.922230863228516e-05,177.2,73.5,56.6,7.36
Pi5,Llama-3.2-1B,Q4_K_M,4,2048,800,784,64,0.391,1,15.96,8.449665073357798e-05,304.2,116.7,91.1,7.33
Pi5,Llama-3.2-1B,Q4_K_M,4,2048,800,784,64,0.391,2,15.87,8.413590493905218e-05,302.9,116.0,90.0,7.37
Pi5,Llama-3.2-1B,Q4_K_M,4,2048,800,784,64,0.391,3,15.86,8.434565153946643e-05,303.6,117.9,91.7,7.49
Pi5,Llama-3.2-1B,Q4_K_M,4,2048,1900,1862,64,0.928,1,34.35,0.00017303796825355174,622.9,261.4,206.1,7.64
Pi5,Llama-3.2-1B,Q4_K_M,4,2048,1900,1862,64,0.928,2,34.42,0.00017314104662774613,623.3,267.7,212.8,7.83
Pi5,Llama-3.2-1B,Q4_K_M,4,2048,1900,1862,64,0.928,3,34.43,0.00017330138421114632,623.9,262.4,207.3,7.7
Pi5,Llama-3.2-1B,Q4_K_M,4,8192,50,50,64,0.006,1,5.46,2.762217736947855e-05,99.4,37.4,27.7,7.15
Pi5,Llama-3.2-1B,Q4_K_M,4,8192,50,50,64,0.006,2,5.48,2.7949770754660012e-05,100.6,35.9,26.3,6.76
Pi5,Llama-3.2-1B,Q4_K_M,4,8192,50,50,64,0.006,3,5.43,2.7120610631106034e-05,97.6,33.6,24.2,6.44
Pi5,Llama-3.2-1B,Q4_K_M,4,8192,400,392,64,0.049,1,10.22,5.0257051465775106e-05,180.9,72.5,55.5,7.22
Pi5,Llama-3.2-1B,Q4_K_M,4,8192,400,392,64,0.049,2,10.22,4.976591803374173e-05,179.2,72.4,55.4,7.15
Pi5,Llama-3.2-1B,Q4_K_M,4,8192,400,392,64,0.049,3,10.19,5.005699100570195e-05,180.2,76.1,58.5,7.49
Pi5,Llama-3.2-1B,Q4_K_M,4,8192,1900,1862,64,0.232,1,35.04,0.00017883739402316763,643.8,262.7,205.9,7.54
Pi5,Llama-3.2-1B,Q4_K_M,4,8192,1900,1862,64,0.232,2,35.17,0.00017634206925647253,634.8,268.8,211.4,7.65
Pi5,Llama-3.2-1B,Q4_K_M,4,8192,1900,1862,64,0.232,3,35.03,0.0001779114625480748,640.5,261.5,204.9,7.5
Pi5,Llama-3.2-1B,Q4_K_M,4,8192,4000,3918,64,0.488,1,82.64,0.00041160730010730005,1481.8,622.3,488.5,7.55
Pi5,Llama-3.2-1B,Q4_K_M,4,8192,4000,3918,64,0.488,2,82.82,0.0004125058743392372,1485.0,630.8,497.3,7.63
Pi5,Llama-3.2-1B,Q4_K_M,4,8192,4000,3918,64,0.488,3,82.93,0.00041520371337612537,1494.7,627.5,493.1,7.58
Pi5,Llama-3.2-1B,Q4_K_M,4,8192,7800,7638,64,0.952,1,204.76,0.0010160473421112564,3657.8,1550.4,1211.8,7.58
Pi5,Llama-3.2-1B,Q4_K_M,4,8192,7800,7638,64,0.952,2,204.44,0.001015139012023772,3654.5,1535.3,1200.5,7.52
Pi5,Llama-3.2-1B,Q4_K_M,4,8192,7800,7638,64,0.952,3,204.56,0.0010166922821159858,3660.1,1537.7,1201.6,7.52
