machine,modele,quantification,taille_cible,input_tokens,output_tokens,run,duree_s,energie_kWh,joules,joules_pmic,joules_pmic_cpu,w_moyen_pmic
Pi5,Llama-3.2-1B,Q4_K_M,128,126,64,1,6.23,1.551658380837975e-05,55.9,39.0,28.5,6.28
Pi5,Llama-3.2-1B,Q4_K_M,128,126,64,2,6.21,1.5437382408832663e-05,55.6,39.0,28.5,6.31
Pi5,Llama-3.2-1B,Q4_K_M,128,126,64,3,6.21,1.5359004274353437e-05,55.3,36.6,26.3,5.94
Pi5,Llama-3.2-1B,Q4_K_M,256,252,64,1,7.97,2.4272976625516587e-05,87.4,51.5,38.4,6.53
Pi5,Llama-3.2-1B,Q4_K_M,256,252,64,2,7.93,2.4000963615085607e-05,86.4,52.7,39.5,6.69
Pi5,Llama-3.2-1B,Q4_K_M,256,252,64,3,7.94,2.4098081385181582e-05,86.8,50.2,37.5,6.44
Pi5,Llama-3.2-1B,Q4_K_M,512,502,64,1,11.62,4.355134014443742e-05,156.8,79.6,60.8,6.95
Pi5,Llama-3.2-1B,Q4_K_M,512,502,64,2,11.65,4.340899232363782e-05,156.3,77.2,58.6,6.72
Pi5,Llama-3.2-1B,Q4_K_M,512,502,64,3,11.67,4.329699533028052e-05,155.9,80.7,61.5,6.95
Pi5,Llama-3.2-1B,Q4_K_M,1024,1004,64,1,19.41,8.32178246931215e-05,299.6,138.8,107.9,7.26
Pi5,Llama-3.2-1B,Q4_K_M,1024,1004,64,2,19.52,8.304654752449573e-05,299.0,139.4,108.6,7.19
Pi5,Llama-3.2-1B,Q4_K_M,1024,1004,64,3,19.5,8.339557052204238e-05,300.2,137.7,106.5,7.07
Pi5,Llama-3.2-1B,Q4_K_M,2048,2006,64,1,37.57,0.00017585433847637714,633.1,273.9,214.3,7.31
Pi5,Llama-3.2-1B,Q4_K_M,2048,2006,64,2,37.47,0.00017480261981302583,629.3,275.2,216.2,7.38
Pi5,Llama-3.2-1B,Q4_K_M,2048,2006,64,3,37.42,0.00017550006726494807,631.8,280.6,220.8,7.5
Pi5,Llama-3.2-1B,Q4_K_M,4096,4012,64,1,84.67,0.0004052150311336508,1458.8,630.7,495.2,7.45
Pi5,Llama-3.2-1B,Q4_K_M,4096,4012,64,2,84.65,0.0004057287673472351,1460.6,628.8,493.0,7.45
Pi5,Llama-3.2-1B,Q4_K_M,4096,4012,64,3,84.69,0.00040490624209099457,1457.7,631.9,495.7,7.47
